;Kalimat;Kelas;Propocessing;Lowers
475;['mata', 'kuliah', 'ambil', 'semester', 'pendek'];id;mata, kuliah, ambil, semester, pendek;mata, kuliah, ambil, semester, pendek
476;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
477;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
478;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
479;['usul', 'batik', 'bangga', 'indonesia'];ood;usul, batik, bangga, indonesia;usul, batik, bangga, indonesia
480;['milik', 'usaha', 'besar', 'indonesia'];ood;milik, usaha, besar, indonesia;milik, usaha, besar, indonesia
481;['tulis', 'buku', 'gak'];ood;tulis, buku, gak;tulis, buku, gak
482;['tanggal', 'tenggat', 'isi', 'krs'];id;tanggal, tenggat, isi, krs;tanggal, tenggat, isi, krs
483;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
484;['si', 'untung', 'chatbot'];ood;si, untung, chatbot;si, untung, chatbot
485;['tampil', 'nama', 'pribadi', 'sesuai', 'cantum', 'akademik'];id;tampil, nama, pribadi, sesuai, cantum, akademik;tampil, nama, pribadi, sesuai, cantum, akademik
486;['tampil', 'history', 'mata', 'kuliah', 'struktur', 'diskrit'];id;tampil, history, mata, kuliah, struktur, diskrit;tampil, history, mata, kuliah, struktur, diskrit
487;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
488;['tulis', 'buku'];ood;tulis, buku;tulis, buku
489;['mata', 'kuliah', 'ambil', 'semester'];id;mata, kuliah, ambil, semester;mata, kuliah, ambil, semester
490;['bahasa', 'inggris'];ood;bahasa, inggris;bahasa, inggris
491;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
492;['ikan', 'hidup', 'air'];ood;ikan, hidup, air;ikan, hidup, air
493;['rekomendasi', 'situs', 'web', 'wajib', 'mahasiswa'];ood;rekomendasi, situs, web, wajib, mahasiswa;rekomendasi, situs, web, wajib, mahasiswa
494;['uang', 'beli', 'komputer', 'bekas'];ood;uang, beli, komputer, bekas;uang, beli, komputer, bekas
495;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
496;['tampil', 'history', 'usept'];id;tampil, history, usept;tampil, history, usept
497;['ruang', 'mata', 'kuliah', 'kalkulus'];id;ruang, mata, kuliah, kalkulus;ruang, mata, kuliah, kalkulus
498;['cari', 'data', 'mahasiswa', 'nim'];id;cari, data, mahasiswa, nim;cari, data, mahasiswa, nim
499;['tampil', 'isi', 'kprs'];id;tampil, isi, kprs;tampil, isi, kprs
500;['fasilitas', 'unsri'];ood;fasilitas, unsri;fasilitas, unsri
501;['tere', 'liye', 'terbit', 'buku', 'kali'];ood;tere, liye, terbit, buku, kali;tere, liye, terbit, buku, kali
502;['nama', 'dekan', 'fakultas', 'dokter', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, dokter, universitas, sriwijaya;nama, dekan, fakultas, dokter, universitas, sriwijaya
503;['tere', 'liye', 'sukses'];ood;tere, liye, sukses;tere, liye, sukses
504;['nama', 'dosen', 'ampu', 'mata', 'kuliah', 'kalkulus'];id;nama, dosen, ampu, mata, kuliah, kalkulus;nama, dosen, ampu, mata, kuliah, kalkulus
505;['tampil', 'semester', 'pendek', 'semester'];id;tampil, semester, pendek, semester;tampil, semester, pendek, semester
506;['tampil', 'sks', 'tempuh'];id;tampil, sks, tempuh;tampil, sks, tempuh
507;['tulis', 'buku', 'duduk'];ood;tulis, buku, duduk;tulis, buku, duduk
508;['tampil', 'mata', 'kuliah', 'ambil', 'semester', 'pendek'];id;tampil, mata, kuliah, ambil, semester, pendek;tampil, mata, kuliah, ambil, semester, pendek
509;['tampil', 'jadwal', 'mata', 'kuliah', 'kalkulus'];id;tampil, jadwal, mata, kuliah, kalkulus;tampil, jadwal, mata, kuliah, kalkulus
510;['orang', 'temu', 'organisasi', 'boleh', 'meni'];ood;orang, temu, organisasi, boleh, meni;orang, temu, organisasi, boleh, meni
511;['tolong', 'temu', 'jodoh'];ood;tolong, temu, jodoh;tolong, temu, jodoh
512;['tulis', 'buku'];ood;tulis, buku;tulis, buku
513;['krs', 'semester', 'pendek'];id;krs, semester, pendek;krs, semester, pendek
514;['sks', 'tempuh'];id;sks, tempuh;sks, tempuh
515;['krs', 'semester'];id;krs, semester;krs, semester
516;['tampil', 'mata', 'kuliah', 'nilai', 'c'];id;tampil, mata, kuliah, nilai, c;tampil, mata, kuliah, nilai, c
517;['perempuan', 'cantik', 'alam', 'barzah'];ood;perempuan, cantik, alam, barzah;perempuan, cantik, alam, barzah
518;['sks', 'ambil', 'semester'];id;sks, ambil, semester;sks, ambil, semester
519;['sks', 'semester'];id;sks, semester;sks, semester
520;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
521;['ipk', 'mahasiswa', 'nim'];id;ipk, mahasiswa, nim;ipk, mahasiswa, nim
522;['tampil', 'nama', 'dosen', 'ampu', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, nama, dosen, ampu, mata, kuliah, struktur, data;tampil, nama, dosen, ampu, mata, kuliah, struktur, data
523;['batas', 'isi', 'krs'];id;batas, isi, krs;batas, isi, krs
524;['tampil', 'nama', 'dosen', 'ampu', 'mata', 'kuliah', 'kalkulus'];id;tampil, nama, dosen, ampu, mata, kuliah, kalkulus;tampil, nama, dosen, ampu, mata, kuliah, kalkulus
525;['tampil', 'ruang', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, ruang, mata, kuliah, algoritma, pemrograman;tampil, ruang, mata, kuliah, algoritma, pemrograman
526;['bintang', 'laut', 'laut'];ood;bintang, laut, laut;bintang, laut, laut
527;['tampil', 'tanggal', 'test', 'usept'];id;tampil, tanggal, test, usept;tampil, tanggal, test, usept
528;['sebutka', 'lagu', 'populer'];ood;sebutka, lagu, populer;sebutka, lagu, populer
529;['fasilkom', 'unsri', 'diri'];ood;fasilkom, unsri, diri;fasilkom, unsri, diri
530;['sks', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;sks, mata, kuliah, algoritma, pemrograman;sks, mata, kuliah, algoritma, pemrograman
531;['nim'];id;nim;nim
532;['sebut', 'nama', 'dosen', 'ajar', 'bidang', 'olah', 'citra'];id;sebut, nama, dosen, ajar, bidang, olah, citra;sebut, nama, dosen, ajar, bidang, olah, citra
533;['tampil', 'angkat'];id;tampil, angkat;tampil, angkat
534;['batas', 'maksimum', 'ambil', 'semester', 'pendek'];id;batas, maksimum, ambil, semester, pendek;batas, maksimum, ambil, semester, pendek
535;['tampil', 'daftar', 'nama', 'mahasiswa', 'jenis', 'kelamin', 'perempuan', 'jurus', 'teknik', 'informatika', 'angkat'];id;tampil, daftar, nama, mahasiswa, jenis, kelamin, perempuan, jurus, teknik, informatika, angkat;tampil, daftar, nama, mahasiswa, jenis, kelamin, perempuan, jurus, teknik, informatika, angkat
536;['nama', 'dosen', 'ampu', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;nama, dosen, ampu, mata, kuliah, algoritma, pemrograman;nama, dosen, ampu, mata, kuliah, algoritma, pemrograman
537;['tampil', 'nama', 'pribadi', 'sesuai', 'tera', 'akademik'];id;tampil, nama, pribadi, sesuai, tera, akademik;tampil, nama, pribadi, sesuai, tera, akademik
538;['nim', 'mahasiswa', 'nama', 'virani', 'amanda'];id;nim, mahasiswa, nama, virani, amanda;nim, mahasiswa, nama, virani, amanda
539;['tampil', 'sks', 'semester'];id;tampil, sks, semester;tampil, sks, semester
540;['harga', 'buku', 'kalkulus'];ood;harga, buku, kalkulus;harga, buku, kalkulus
541;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
542;['tampil', 'history', 'suliet'];id;tampil, history, suliet;tampil, history, suliet
543;['nomor', 'induk', 'pegawai', 'dosen', 'pa'];id;nomor, induk, pegawai, dosen, pa;nomor, induk, pegawai, dosen, pa
544;['unsri', 'diri'];ood;unsri, diri;unsri, diri
545;['cipta', 'lagu', 'merdeka'];ood;cipta, lagu, merdeka;cipta, lagu, merdeka
546;['virus', 'corona'];ood;virus, corona;virus, corona
547;['muncul', 'nama', 'mahasiswa', 'angkat', 'selesai', 'skripsi'];id;muncul, nama, mahasiswa, angkat, selesai, skripsi;muncul, nama, mahasiswa, angkat, selesai, skripsi
548;['temu', 'bola', 'lampu'];ood;temu, bola, lampu;temu, bola, lampu
